txn_reference,sender_mobile,receiver_mobile,transfer_amount,initiated_at
APP982965198,6741491542,9916878525,84041.78,1710047569
APP189083535,6149196512,7963002594,292808.81,1710047628
APP699096333,8598499107,9820423048,109869.35,1710047647
APP673711028,8938904748,6598933886,211696.78,1710047660
APP238662723,8367253613,6470988951,124978.63,1710047697
APP286976105,6957259607,8593222899,182502.75,1704438968
APP927390181,8530458801,6957259607,271156.18,1704438984
APP673773156,8593222899,9799854133,349391.84,1704439056
APP802585862,6480295209,7340742708,258426.9,1728202820
APP213546818,8991171288,8559220364,252872.14,1728202831
APP334724214,6292550985,8163765423,96510.36,1728202840
APP570433529,8991171288,6292550985,18565.11,1728202940
APP946327773,6480295209,8559220364,287555.3,1728202968
APP307529540,7093869939,7652541499,319519.08,1722535286
APP805627252,7652541499,7093869939,124103.81,1722535301
APP804971990,6957414687,7147187343,411176.13,1722535363
APP821877182,6987526549,6957414687,277440.56,1722535459
APP903778356,9411034326,9338021670,292543.01,1714122450
APP315053957,9411034326,6503469188,205507.17,1714122472
APP181144246,9411034326,6503469188,225266.17,1714122488
APP698319786,6615669523,9142485055,83549.62,1714122495
APP308310080,9142485055,6105931538,159037.93,1714122573
APP322921164,9928508215,6154368043,305136.22,1705405087
APP597316519,7011760628,8698267940,317520.33,1705405099
APP803496718,8698267940,7640812037,327127.66,1705405183
APP780223536,7011760628,8698267940,299199.71,1705405207
APP270206043,7640812037,6154368043,159253.86,1705405274
APP395806119,7640812037,7011760628,269212.88,1705405339
APP175854914,7696598668,7640812037,286490.02,1705405347
APP800722372,7696598668,9928508215,361050.19,1705405377
APP939968176,7222351852,6724209990,210192.38,1708966430
APP292817608,8694946106,9385556682,285621.46,1708966544
APP436506774,6095671565,8881885929,280554.96,1729174386
APP411494985,9544049346,7467321425,207137.57,1729174451
APP459203579,9515215756,7467321425,470490.43,1729174516
APP964886774,7467321425,9544049346,57484.13,1729174519
APP755275260,6170893537,9205963954,276534.82,1729174599
APP275916950,6434365817,7179586402,15297.76,1719832551
APP165789904,9807188919,9386744202,477674.59,1719832567
APP296748293,8852179857,9386744202,317954.76,1719832619
APP280219930,6148902260,6468594945,206478.91,1719078778
APP923687402,7014631140,6753518329,319457.86,1719078825
APP632249690,9540451800,7014631140,107589.92,1719078841
APP303606604,6753518329,7867190998,125217.67,1719078875
APP110883873,9540451800,6148902260,201428.01,1719078895
