transaction_id,debit_account_no,credit_account_no,transaction_amount,transaction_date
NB743642838,ACC00000014,ACC00000011,160286.43,2024-03-10 05:11:31
NB347242720,ACC00000009,ACC00000004,404259.92,2024-03-10 05:11:51
NB243070080,ACC00000011,ACC00000013,305547.11,2024-03-10 05:11:52
NB951062813,ACC00000012,ACC00000006,190868.55,2024-03-10 05:12:47
NB263505683,ACC00000006,ACC00000010,141180.89,2024-03-10 05:13:00
NB708720353,ACC00000005,ACC00000001,190887.05,2024-03-10 05:13:34
NB750160475,ACC00000005,ACC00000015,346554.34,2024-03-10 05:14:47
NB867880497,ACC00000008,ACC00000010,246911.48,2024-03-10 05:15:10
NB902630928,ACC00000003,ACC00000007,211467.71,2024-03-10 05:15:12
NB640301995,ACC00000006,ACC00000008,293806.21,2024-03-10 05:15:32
NB139795203,ACC00000010,ACC00000013,180052.26,2024-03-10 05:15:42
NB661998705,ACC00000025,ACC00000016,249214.01,2024-01-05 07:14:28
NB479899005,ACC00000024,ACC00000017,296024.37,2024-01-05 07:15:06
NB893016403,ACC00000021,ACC00000022,45772.61,2024-01-05 07:15:10
NB752872139,ACC00000023,ACC00000022,223223.8,2024-01-05 07:15:11
NB540099464,ACC00000025,ACC00000018,327532.63,2024-01-05 07:16:12
NB322886595,ACC00000023,ACC00000019,192575.46,2024-01-05 07:16:12
NB376594444,ACC00000021,ACC00000019,489535.87,2024-01-05 07:16:31
NB504773040,ACC00000024,ACC00000016,413402.8,2024-01-05 07:17:04
NB801543876,ACC00000028,ACC00000026,37539.56,2024-10-06 08:20:23
NB511838588,ACC00000030,ACC00000032,494722.93,2024-10-06 08:21:05
NB375775295,ACC00000027,ACC00000030,17564.66,2024-10-06 08:23:41
NB403107498,ACC00000034,ACC00000033,369620.17,2024-08-01 18:00:44
NB470851735,ACC00000038,ACC00000037,100639.13,2024-08-01 18:01:09
NB947711144,ACC00000040,ACC00000036,239771.53,2024-08-01 18:01:35
NB538350634,ACC00000035,ACC00000033,244235.03,2024-08-01 18:02:39
NB101387774,ACC00000039,ACC00000041,302686.49,2024-08-01 18:03:49
NB648806583,ACC00000048,ACC00000050,268967.08,2024-04-26 09:07:15
