upi_txn_ref,sender_vpa,receiver_vpa,amount,txn_timestamp,upi_status
UPI899942602415,mani791@oksbi,bala722@oksbi,54799.55,1710047523,SUCCESS
UPI786930097954,radha659@oksbi,hari79@oksbi,89993.34,1710047543,SUCCESS
UPI445611891056,hari79@oksbi,gopal878@oksbi,465106.48,1710047634,SUCCESS
UPI325164545227,durai97@oksbi,prabhu363@oksbi,438605.56,1710047657,SUCCESS
UPI668920330264,durai97@oksbi,mani791@oksbi,77370.22,1710047671,SUCCESS
UPI284783683002,jagan802@oksbi,dinesh17@oksbi,439146.27,1710047752,SUCCESS
UPI439916216855,dinesh546@oksbi,vijay589@oksbi,186462.11,1704438838,SUCCESS
UPI462413899587,priya316@oksbi,jagan604@oksbi,209939.01,1704438859,SUCCESS
UPI334678875663,priya316@oksbi,gopal867@oksbi,464290.46,1704438871,SUCCESS
UPI255128698726,kumar824@oksbi,senthil229@oksbi,273030.71,1704438944,SUCCESS
UPI303416963728,jagan604@oksbi,dinesh546@oksbi,467476.23,1704438994,SUCCESS
UPI415685391288,priya316@oksbi,priya426@oksbi,220615.86,1704438995,SUCCESS
UPI469571961386,vijay589@oksbi,priya426@oksbi,411621.29,1704439015,SUCCESS
UPI891875986376,kumar824@oksbi,gopal867@oksbi,247137.48,1704439080,SUCCESS
UPI584826742008,senthil916@oksbi,karthik375@oksbi,371639.3,1728202945,SUCCESS
UPI424283562839,arun649@oksbi,prabhu422@oksbi,104141.7,1728202966,SUCCESS
UPI489412063157,elan907@oksbi,chandra150@oksbi,307988.62,1722535277,SUCCESS
UPI686270149432,hari639@oksbi,hari656@oksbi,491147.47,1722535402,SUCCESS
UPI215962135605,kaviya595@oksbi,sangeetha11@oksbi,346738.59,1714122474,SUCCESS
UPI164257598059,karthik100@oksbi,chandra443@oksbi,251268.76,1714122491,SUCCESS
UPI537200265989,elan637@oksbi,ganesh234@oksbi,206420.29,1714122612,SUCCESS
UPI461270604352,anand482@oksbi,sangeetha296@oksbi,70617.28,1705405152,SUCCESS
UPI849770799944,anand482@oksbi,sangeetha296@oksbi,182063.18,1705405192,SUCCESS
UPI450396077890,prabhu746@oksbi,sangeetha647@oksbi,401475.79,1705405218,SUCCESS
UPI140360936547,sangeetha296@oksbi,sangeetha647@oksbi,294870.27,1705405257,SUCCESS
UPI659816301214,sangeetha296@oksbi,anand482@oksbi,7009.57,1705405268,SUCCESS
UPI846222324003,jagan524@oksbi,kumar757@oksbi,397590.03,1705405379,SUCCESS
UPI240551722069,elan512@oksbi,nithya20@oksbi,397107.31,1708966363,SUCCESS
UPI933365751223,ilango996@oksbi,nithya20@oksbi,299362.39,1708966399,SUCCESS
UPI477497923564,ilango996@oksbi,mani195@oksbi,199313.43,1708966468,SUCCESS
UPI646090341673,priya352@oksbi,elan568@oksbi,243463.13,1708966550,SUCCESS
UPI513309402924,elan512@oksbi,elan568@oksbi,408525.43,1708966557,SUCCESS
UPI975240306602,elan512@oksbi,nithya20@oksbi,128689.61,1708966558,SUCCESS
UPI951118519637,radha829@oksbi,ilango996@oksbi,288465.42,1708966579,SUCCESS
UPI536301435285,jagan825@oksbi,nanda630@oksbi,107496.39,1729174398,SUCCESS
UPI242416081665,radha596@oksbi,priya213@oksbi,451191.59,1729174442,SUCCESS
UPI417316289771,jagan825@oksbi,nithya829@oksbi,447903.04,1729174446,SUCCESS
UPI570266463439,durai76@oksbi,velu826@oksbi,6897.03,1729174493,SUCCESS
UPI486720121115,nithya829@oksbi,jagan825@oksbi,316638.11,1729174505,SUCCESS
UPI994970920927,nithya829@oksbi,jagan825@oksbi,268251.81,1729174592,SUCCESS
UPI417564840957,priya213@oksbi,durai76@oksbi,260899.01,1729174658,SUCCESS
UPI106162038490,durai728@oksbi,ganesh516@oksbi,275079.25,1719832553,SUCCESS
UPI322641032248,tamil900@oksbi,ganesh516@oksbi,254824.92,1719832554,SUCCESS
UPI808380414226,nanda639@oksbi,karthik295@oksbi,207059.17,1719832638,SUCCESS
UPI535951971322,ganesh516@oksbi,nanda639@oksbi,315568.13,1719832660,SUCCESS
UPI651343126407,dinesh916@oksbi,mani167@oksbi,202732.55,1719078739,SUCCESS
UPI771888949823,dinesh916@oksbi,mani167@oksbi,35961.38,1719078755,SUCCESS
UPI363001205702,mani29@oksbi,hari338@oksbi,330477.76,1719078783,SUCCESS
UPI375915664897,nanda693@oksbi,prabhu397@oksbi,135439.45,1719078822,SUCCESS
UPI142706169950,dinesh839@oksbi,hari338@oksbi,170327.98,1719078853,SUCCESS
UPI420675318539,dinesh839@oksbi,prabhu397@oksbi,351625.59,1719078881,SUCCESS
UPI354927566194,mani29@oksbi,hari338@oksbi,123038.28,1719078975,SUCCESS
UPI118810192925,dinesh562@oksbi,dinesh916@oksbi,48057.94,1719078984,SUCCESS
UPI130157269516,chandra208@oksbi,arun139@oksbi,86110.7,1707729363,SUCCESS
UPI102770298168,nanda998@oksbi,ganesh74@oksbi,351480.08,1707729402,SUCCESS
UPI680994275338,arun139@oksbi,ilango223@oksbi,186872.27,1707729457,SUCCESS
UPI393001406916,arun139@oksbi,nanda998@oksbi,282614.46,1707729470,SUCCESS
UPI784217553399,velu682@oksbi,arun139@oksbi,172239.56,1707729485,SUCCESS
