web_txn_id,from_account,to_account,amount,timestamp_epoch,currency
WEB508830029,ACC00000015,ACC00000014,394050.44,1710047472,INR
WEB669955692,ACC00000010,ACC00000001,209152.2,1710047533,INR
WEB314177266,ACC00000007,ACC00000011,289267.64,1710047546,INR
WEB875483847,ACC00000008,ACC00000009,64419.44,1710047554,INR
WEB832687937,ACC00000008,ACC00000015,319402.73,1710047569,INR
WEB809279383,ACC00000006,ACC00000010,287329.32,1710047583,INR
WEB145796670,ACC00000007,ACC00000006,368182.3,1710047639,INR
WEB155102070,ACC00000009,ACC00000005,67269.82,1710047693,INR
WEB739324688,ACC00000009,ACC00000008,400231.14,1710047729,INR
WEB834294137,ACC00000021,ACC00000017,397687.36,1704438794,INR
WEB187145047,ACC00000025,ACC00000019,3357.89,1704438795,INR
WEB778620616,ACC00000022,ACC00000016,206850.23,1704438815,INR
WEB315601357,ACC00000018,ACC00000016,324433.77,1704438870,INR
WEB376570743,ACC00000023,ACC00000021,290683.92,1704438877,INR
WEB985980680,ACC00000016,ACC00000017,431950.17,1704438881,INR
WEB159933789,ACC00000018,ACC00000020,445818.21,1704438908,INR
WEB233537997,ACC00000017,ACC00000018,415445.97,1704438940,INR
WEB956809041,ACC00000023,ACC00000025,424041.99,1704438990,INR
WEB461586830,ACC00000021,ACC00000024,340508.01,1704439026,INR
WEB514399900,ACC00000024,ACC00000017,155086.84,1704439038,INR
WEB973691498,ACC00000017,ACC00000025,271399.91,1704439041,INR
WEB927663415,ACC00000028,ACC00000030,304276.83,1728202807,INR
WEB347185889,ACC00000028,ACC00000031,398208.82,1728202808,INR
WEB375106124,ACC00000030,ACC00000031,74227.56,1728202964,INR
WEB672566520,ACC00000028,ACC00000030,401193.65,1728202975,INR
WEB412332550,ACC00000026,ACC00000028,348190.9,1728203043,INR
WEB806755577,ACC00000040,ACC00000033,57015.51,1722535230,INR
WEB828257273,ACC00000034,ACC00000033,378868.63,1722535256,INR
WEB308812623,ACC00000038,ACC00000044,2702.64,1722535257,INR
WEB461686796,ACC00000040,ACC00000039,366691.72,1722535258,INR
WEB897807502,ACC00000036,ACC00000037,148265.64,1722535346,INR
WEB103885085,ACC00000036,ACC00000042,139597.47,1722535394,INR
WEB320435506,ACC00000047,ACC00000046,275321.36,1714122441,INR
